InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537667,22158,3 HEARTS HANGING DECORATION RUSTIC,128,2010-12-08 08:12:00,2.55,17870.0,United Kingdom
537668,22867,HAND WARMER BIRD DESIGN,12,2010-12-08 08:43:00,2.1,14821.0,United Kingdom
537668,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-08 08:43:00,2.95,14821.0,United Kingdom
537669,22804,CANDLEHOLDER PINK HANGING HEART,12,2010-12-08 08:58:00,2.95,16863.0,United Kingdom
537669,72741,GRAND CHOCOLATECANDLE,9,2010-12-08 08:58:00,1.45,16863.0,United Kingdom
537669,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-12-08 08:58:00,2.95,16863.0,United Kingdom
537669,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2010-12-08 08:58:00,1.45,16863.0,United Kingdom
537669,21725,SWEETIES  STICKERS,12,2010-12-08 08:58:00,0.85,16863.0,United Kingdom
537669,21723,ALPHABET HEARTS STICKER SHEET,12,2010-12-08 08:58:00,0.85,16863.0,United Kingdom
537669,21726,MULTI HEARTS  STICKERS,12,2010-12-08 08:58:00,0.85,16863.0,United Kingdom
537669,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2010-12-08 08:58:00,1.25,16863.0,United Kingdom
537669,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-08 08:58:00,1.45,16863.0,United Kingdom
537670,22569,FELTCRAFT CUSHION BUTTERFLY,24,2010-12-08 09:07:00,3.39,13078.0,United Kingdom
537670,22568,FELTCRAFT CUSHION OWL,24,2010-12-08 09:07:00,3.39,13078.0,United Kingdom
537670,82001S,VINYL RECORD FRAME SILVER,24,2010-12-08 09:07:00,3.39,13078.0,United Kingdom
537670,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,2010-12-08 09:07:00,3.39,13078.0,United Kingdom
537670,82582,AREA PATROLLED METAL SIGN,12,2010-12-08 09:07:00,2.1,13078.0,United Kingdom
537670,21871,SAVE THE PLANET MUG,12,2010-12-08 09:07:00,1.25,13078.0,United Kingdom
537670,22191,IVORY DINER WALL CLOCK,2,2010-12-08 09:07:00,8.5,13078.0,United Kingdom
537670,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2010-12-08 09:07:00,4.25,13078.0,United Kingdom
537670,21463,MIRRORED DISCO BALL ,2,2010-12-08 09:07:00,5.95,13078.0,United Kingdom
537670,21754,HOME BUILDING BLOCK WORD,3,2010-12-08 09:07:00,5.95,13078.0,United Kingdom
